Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Year
"Sat, Jul 23, 2022",Los Angeles Sparks,66,Las Vegas Aces,84,2022
"Sat, Jul 23, 2022",Chicago Sky,80,New York Liberty,83,2022
"Sun, Jul 24, 2022",Dallas Wings,96,Indiana Fever,86,2022
"Sun, Jul 24, 2022",Connecticut Sun,86,Minnesota Lynx,79,2022
"Sun, Jul 24, 2022",Atlanta Dream,72,Seattle Storm,82,2022
"Thu, Jul 28, 2022",Minnesota Lynx,92,Atlanta Dream,85,2022
"Thu, Jul 28, 2022",Seattle Storm,83,Connecticut Sun,88,2022
"Thu, Jul 28, 2022",Washington Mystics,87,Dallas Wings,77,2022
"Thu, Jul 28, 2022",Los Angeles Sparks,80,Phoenix Mercury,90,2022
"Fri, Jul 29, 2022",New York Liberty,81,Chicago Sky,89,2022
"Fri, Jul 29, 2022",Las Vegas Aces,93,Indiana Fever,72,2022
"Sat, Jul 30, 2022",Dallas Wings,81,Atlanta Dream,68,2022
"Sat, Jul 30, 2022",Seattle Storm,82,Washington Mystics,77,2022
"Sun, Jul 31, 2022",Chicago Sky,95,Connecticut Sun,92,2022
"Sun, Jul 31, 2022",Las Vegas Aces,94,Indiana Fever,69,2022
"Sun, Jul 31, 2022",Minnesota Lynx,84,Los Angeles Sparks,77,2022
"Sun, Jul 31, 2022",Phoenix Mercury,69,New York Liberty,89,2022
"Sun, Jul 31, 2022",Seattle Storm,75,Washington Mystics,78,2022
"Tue, Aug 2, 2022",Dallas Wings,84,Chicago Sky,78,2022
"Tue, Aug 2, 2022",Phoenix Mercury,63,Connecticut Sun,87,2022
"Tue, Aug 2, 2022",Los Angeles Sparks,73,New York Liberty,102,2022
"Tue, Aug 2, 2022",Las Vegas Aces,73,Washington Mystics,83,2022
"Wed, Aug 3, 2022",Indiana Fever,81,Atlanta Dream,91,2022
"Wed, Aug 3, 2022",Los Angeles Sparks,61,New York Liberty,64,2022
"Wed, Aug 3, 2022",Minnesota Lynx,77,Seattle Storm,89,2022
